x_px, y_px, x_nm, y_nm, Abs Intensity, Rel Intensity, r_nm, 1/r_nm
191, 245, 150.718100, 193.329500, 311.282445, 0.467447, 1863.693834, 0.000537
507, 77, 400.073700, 60.760700, 325.018122, 0.488074, 1791.626831, 0.000558
1491, 170, 1176.548100, 134.147000, 347.234130, 0.521435, 1371.856421, 0.000729
1249, 269, 985.585900, 212.267900, 333.732242, 0.501160, 1358.603808, 0.000736
1769, 405, 1395.917900, 319.585500, 336.847399, 0.505838, 1150.301035, 0.000869
2358, 591, 1860.697800, 466.358100, 324.860778, 0.487837, 1055.866813, 0.000947
2661, 727, 2099.795100, 573.675700, 329.375120, 0.494617, 1065.415924, 0.000939
3305, 350, 2607.975500, 276.185000, 288.618269, 0.433413, 1614.480280, 0.000619
